""	"RW1"	"RW2"	"RW3"	"RW4"	"RW5"	"RW6"	"RW7"
"Mrpl15"	1.20808854376067	1.17651944231792	1.08286658176908	1.043514490451	1.04596580366691	1.06363376129148	1.10271295070482
"Lypla1"	1.65993314436633	1.6793774263105	1.50615243633027	1.33699005666138	1.43459619569912	1.50621026679475	1.5820481514323
"Tcea1"	1.71347039336018	1.67373201547927	1.90407392284083	1.66572483752951	1.70284411386534	1.66683200245401	1.73703443653664
"Atp6v1h"	1.68182995800228	1.69375276142938	1.97409066684123	2.00323815861864	2.01718039785992	1.95684381874696	1.91963920516051
"Rb1cc1"	1.32696370028568	1.37046042534282	1.52053763402407	1.4785655697703	1.55245069198054	1.48590841417828	1.49542255629931
"Pcmtd1"	1.2361269581036	1.2011549213466	1.31893787182102	1.16366218188823	1.25237880921815	1.21534781814627	1.40354730948214
"Rrs1"	1.57393402705798	1.57915891605463	1.74177734170709	1.83127250193333	1.7677905020923	1.68904125723703	1.55439415286463
"Vcpip1"	1.12408234805192	1.15910035606804	1.29784008305235	1.21622231816184	1.3046511639453	1.21890530065787	1.22575411332485
"Snhg6"	1.74245615443541	1.68956760660341	1.79235449282864	1.86152794163749	1.81697155051237	1.86468859576432	1.78240980350132
"Cops5"	1.7091353001426	1.7450094353354	1.77325292627931	1.77082330693551	1.78661434002414	1.73613015077544	1.69478482813317
"Cspp1"	1.25725542334502	1.20967090124579	1.27671768983333	1.34219612301887	1.36731245562615	1.35722870253695	1.22080108222646
"Arfgef1"	1.62106697874186	1.59507624942807	1.64570586908395	1.63769599868248	1.70512901654777	1.65450699673643	1.68274588691257
"Ncoa2"	1.21363104937794	1.22464884029922	1.28300090717329	1.30333925725673	1.32571083209556	1.25968846594776	1.26391842754611
"Tram1"	1.30595536373031	1.35357361406539	1.24482653446927	1.29734120492649	1.34654609804753	1.3350246634281	1.22500572889837
"Lactb2"	1.60381773467409	1.56923136629174	1.82765152700889	1.48916673071644	1.52342772570506	1.54923297282007	1.67334854508717
"Terf1"	1.34143888923845	1.34666393611048	1.2241488044315	1.23968524511863	1.28751650753105	1.32749646330943	1.26726867273243
"Rpl7"	2.18762671170477	2.16083356766347	2.20441232645504	2.21802148561869	2.21968412637043	2.21630297762482	2.19695607030839
"Rdh10"	1.17287128741006	1.19964839668624	1.07250441450277	1.15451278400657	1.18121353838297	1.193034433172	1.03522778547295
"Stau2"	1.33055439832552	1.30240247879003	1.33633709750979	1.14812758425507	1.2349259667924	1.20917416937948	1.37561684823633
"Ube2w"	1.17988796894529	1.20946102493376	1.41435156299295	1.20160992912549	1.20148957986377	1.17750159952525	1.23624293600114
"Tceb1"	1.81710397400202	1.79949091549618	1.79911241507151	1.7560291426747	1.78981779075281	1.79930704487087	1.80588483959783
"Tmem70"	1.39891433514564	1.44657520249953	1.45606615557185	1.29274183760279	1.34714229441063	1.3937941025575	1.43516999048175
"Ly96"	1.16025683466684	1.19057168377175	1.37024944492892	1.43647168390464	1.43119220722389	1.41402000916043	1.29755590160252
"Mcm3"	1.81535715160488	1.82604072328558	1.43032949680176	1.36500271809505	1.42616017314452	1.68549778090411	1.70248257378902
"Smap1"	1.44374609806321	1.4377659284462	1.54527897943934	1.49808759101273	1.53462693119139	1.48782606654648	1.49398286093636
"Fam135a"	1.36042655521028	1.32296963533891	1.5470119296083	1.3879701844549	1.44915107881329	1.46419772796477	1.43066345868941
"Lmbrd1"	1.16485114197205	1.20819659513448	1.57167734134282	1.41050310357715	1.43664681752858	1.37652721958856	1.40131299814855
"Phf3"	1.56034882195491	1.54008346308871	1.76051003181553	1.84915321601007	1.85964659998759	1.78483325157947	1.72633758194081
"Prim2"	1.57811843874962	1.58830637756702	1.29625517924484	1.21525839735109	1.25699948288332	1.37595163453109	1.41605798854435
"Rab23"	1.29515308769756	1.33770938382804	1.2213567730594	1.10557970684765	1.11550136008421	1.0986200515343	1.14968065406206
"Bag2"	1.54251409412021	1.54891481024757	1.40927564388572	1.27347245425576	1.29032175506183	1.35739735793429	1.51105327220681
"Zfp451"	1.22571595420687	1.17724104204888	1.3607403531602	1.37429024053403	1.40432546817255	1.37578697804901	1.29165035026144
"Dst"	1.47169486922697	1.36699734388987	1.67876243788338	1.39214480017435	1.39605468335098	1.42473456661709	1.5031386875682
"Ccdc115"	1.17008580049805	1.20350898150247	1.32528405433731	1.42484524696067	1.40317280305704	1.24154721987949	1.19310640966471
"Imp4"	1.55092907561215	1.56209454272563	1.64492284288006	1.65695251612838	1.58743856213843	1.53396613581063	1.6242142293384
"Fam168b"	1.69362490858337	1.70449908489906	1.76829854887596	1.78326979374151	1.78140160139633	1.72714651979415	1.71229368104125
"Plekhb2"	1.35264034564574	1.39785739119784	1.35665864623127	1.38743622141298	1.39527425643709	1.35652797123748	1.41062914947911
"Hs6st1"	1.45353996175749	1.46675897863256	1.44564824654938	1.46311786779816	1.42728754307994	1.32299404162725	1.4343957748926
"Uggt1"	1.50289857653735	1.51905161243004	1.57378677100873	1.33095364510379	1.36182325513842	1.34310655971526	1.53126960066274
"Kansl3"	1.52887637867776	1.52934430548549	1.55412250358698	1.68165220034734	1.65735580844351	1.63779295922339	1.56528157423425
"Lman2l"	1.29385512987936	1.2933705187814	1.23908412705591	1.10498901267934	1.12177050838121	1.22988091611176	1.2945318866327
"Cox5b"	1.94998616709312	1.95689788896885	1.95857323169405	1.9469446947751	1.91747015984267	1.97089060704104	1.94910753926482
"Actr1b"	1.82299463798277	1.85583996416371	1.75324952609727	1.72434922396128	1.72677196770649	1.71671752025809	1.78434074218301
"Tmem131"	1.67845239763591	1.65304244262712	1.74244292330502	1.73793614098801	1.70736676978507	1.68970148541366	1.75549012124851
"Coa5"	1.64527465523822	1.6710620605418	1.65498670219698	1.62864561014206	1.64636077861843	1.56494213413779	1.67127118443101
"Unc50"	1.40253417258071	1.47910953098068	1.62986472725977	1.61633298055835	1.60951417410763	1.58189460774422	1.50893144354769
"Mitd1"	1.36814044240241	1.40705165594466	1.41657391102222	1.28149862584751	1.31980671679014	1.26377445012042	1.25609066314066
"Mrpl30"	1.88071391860994	1.88435959200522	1.89774266281561	2.00281287202829	1.97589663888976	1.95541100569947	1.89535611714583
"Txndc9"	1.33599354827715	1.33917382627883	1.48570135905748	1.50242377740621	1.48063363414872	1.47201963494496	1.42319359808175
"Eif5b"	1.68116297735674	1.65775187427136	1.61861781143071	1.68476022439867	1.7066411070638	1.66817751046688	1.63800979062238
"Rev1"	1.10122242585053	1.1152405881953	1.26932021557041	1.4081510863841	1.4184600251788	1.31861828515542	1.15619001436722
"Pdcl3"	1.65066742291633	1.64584444377666	1.64986488608404	1.5639059016172	1.5874727658577	1.5837550480356	1.59943678103622
"Rpl31"	1.75241492652289	1.72726723929061	1.7791401544309	1.86521843950468	1.83781480566093	1.82761826333524	1.77136220480959
"Cnot11"	1.4267893631275	1.46583860161727	1.42653235120835	1.57267926120425	1.51749992996516	1.4673308730883	1.44486590537679
