	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Mrpl15	389.600640616364	-0.143101726564914	0.380667193571298	-0.375923454875057	0.706973802854839	0.995838530215326
Lypla1	648.893206465923	-0.58422659477276	0.569884876489052	-1.02516599207206	0.305284871730663	0.995838530215326
Tcea1	1181.02164182668	-0.80516160122652	0.435529624464919	-1.84869537225102	0.064501812307842	0.995838530215326
Rgs20	194.119031113964	0.010876239786978	0.619924775288972	0.017544450908431	0.986002271597648	0.997528926470751
Atp6v1h	1248.08244764306	0.097832563930217	0.61423912014073	0.159274394486307	0.873452693457587	0.997528926470751
Rb1cc1	1569.10353289308	-0.143987045715775	0.408362459841833	-0.352596185681573	0.724391197551957	0.995838530215326
Pcmtd1	711.023756866134	-0.547407622775697	0.431791850428037	-1.26775811593723	0.204884343725999	0.995838530215326
Sntg1	6.90821482170298	-4.29214297533697	2.36299794716314	-1.81639725099628	0.069309456594435	0.995838530215326
Rrs1	768.912523046102	0.302248263201272	0.519416192852158	0.581899962613028	0.560634065693437	0.995838530215326
Adhfe1	6.74401935788974	2.48914464468901	1.74443450964575	1.42690633034684	0.153606895934736	0.995838530215326
2610203C22Rik	16.2693679180484	0.766691777065163	1.63024081961535	0.470293571256583	0.638145289862193	0.995838530215326
3110035E14Rik	7.77825460572601	1.02966682604122	2.85336621563034	0.360860383220649	0.71820382045601	0.995838530215326
Mybl1	624.430772327472	0.975286822051987	0.584809821291444	1.66769911609598	0.095375470980127	0.995838530215326
Vcpip1	1209.16541500071	-0.287035679489389	0.360307402875906	-0.796641082582051	0.425659510564086	0.995838530215326
1700034P13Rik	2.10832996634477	0.029743592803026	2.34886050372141	0.012662988183377	0.989896667249282	0.997528926470751
Sgk3	177.757339276799	-0.616627382383136	0.684529028656808	-0.900805307837844	0.367691844933362	0.995838530215326
Mcmdc2	1.62019535778446	3.47227163088632	3.41065684574156	1.01806537213549	0.308646890216511	0.995838530215326
Snhg6	196.905712262987	0.233268177358148	0.366791647844911	0.63596916322582	0.524796521197796	0.995838530215326
Snord87	9.64031357866206	0.489170843401568	1.63748261557772	0.298733457532912	0.765143426655073	0.997528926470751
Tcf24	0.572721209285804	2.47229444030109	4.10115971394195	0.602828129783997	0.546623031398782	0.995838530215326
Ppp1r42	3.84760393487521	1.83709628751092	2.96012876790552	0.620613639321774	0.534853863360989	0.995838530215326
Cops5	747.592715372424	-0.008209525304001	0.226907888051949	-0.036179990808081	0.971138840564756	0.997528926470751
Cspp1	639.1598656305	0.228744345814694	0.361052892841794	0.633548021217282	0.52637583207706	0.995838530215326
Arfgef1	2415.57513990639	-0.027229287354335	0.22813533359403	-0.119355853060404	0.904993435357817	0.997528926470751
Cpa6	37.1088246773884	-1.42969198688987	1.27139967551235	-1.12450240032799	0.260799952794349	0.995838530215326
