Ingenuity Canonical Pathways, -log(p-value),Ratio,z-score,Molecules, -log(p),ratio,z-score,melecules,,agene,gene
LXR/RXR Activation,2.03,0.0636,0.816,"SCD,C3,SAA1,ABCG1,ARG2,NOS2,RBP4",3.28,0.1,1,"FOS,CBL,JUN,IRS1,AKT3,PIK3CD,PLCD4,PRKCB",,S100g,S100G
Th2 Pathway,2.6,0.0667,0.378,"IL4R,HLA-DOA,JUN,TGFB1,CXCR4,IRS1,MAF,JAG1,CD3D",7.57,0.141,-0.333,"FOS,CBL,JUN,IRS1,AKT3,PIK3CD,PLCD4,PRKCB",,Slc37a2,SLC37A2
eNOS Signaling,2.3,0.06,-1.414,"PRKAR2B,IRS1,Hspa1b,FLT4,HSPA1A/HSPA1B,AKT3,AQP8,PDGFC,HSPA1L",1.78,0.0667,-1.134,"FOS,CBL,JUN,IRS1,AKT3,PIK3CD,PLCD4,PRKCB",,Slc2a5,SLC2A5
Endothelin-1 Signaling,1.8,0.0497,1,"PLCD3,FOS,JUN,IRS1,PLA2G4C,GNAI1,PLA2G3,NOS2,PLA2G7",2.02,0.0663,-1.155,"FOS,CBL,JUN,IRS1,AKT3,PIK3CD,PLCD4,PRKCB",,Me3,ME3
ERK/MAPK Signaling,1.66,0.0471,1,"FOS,PRKAR2B,DUSP6,IRS1,ITGA2,PLA2G4C,ITGA5,PLA2G3,PPP1R14A",2.67,0.0733,-1.604,"FOS,CBL,JUN,IRS1,AKT3,PIK3CD,PLCD4,PRKCB",,Hepacam,HEPACAM
IGF-1 Signaling,2.18,0.068,0.447,"FOS,NOV,PRKAR2B,JUN,IRS1,AKT3,CYR61",1.43,0.068,-1.633,"FOS,CBL,JUN,IRS1,AKT3,PIK3CD,PLCD4,PRKCB",,Cadm1,CADM1
14-3-3-mediated Signaling,1.7,0.0547,1.342,"PLCD3,FOS,JUN,IRS1,TUBB2A,AKT3,TUBB2B",1.38,0.0625,-1.89,"FOS,CBL,JUN,IRS1,AKT3,PIK3CD,PLCD4,PRKCB",,Cyp2d12,CYP2D12
LPS/IL-1 Mediated Inhibition of RXR Function,1.94,0.0498,2.236,"CYP3A7,HS3ST3B1,ABCB1,JUN,ALDH1A3,ABCG1,CYP2B6,FMO5,SOD3,PPARGC1A",3.84,0.0846,-2.121,"FOS,CBL,JUN,IRS1,AKT3,PIK3CD,PLCD4,PRKCB",,Per3,PER3
P2Y Purigenic Receptor Signaling Pathway,1.66,0.0538,1.134,"PLCD3,FOS,PRKAR2B,JUN,IRS1,GNAI1,AKT3",1.35,0.0615,-2.121,"FOS,CBL,JUN,IRS1,AKT3,PIK3CD,PLCD4,PRKCB",,Tef,TEF
MIF Regulation of Innate Immunity,2.86,0.128,2.236,"FOS,JUN,PLA2G4C,PLA2G3,NOS2",2.2,0.128,-2.236,"FOS,CBL,JUN,IRS1,AKT3,PIK3CD,PLCD4,PRKCB",,Pla2g7,PLA2G7
