Ingenuity Canonical Pathways, -log(p-value),Ratio,z-score,Molecules,,,,,, -log(p-value),Ratio,z-score,Molecules,,gene,AOM+DSS vs control,AOM+DSS+Curcumin vs AOM+DSS,p1,p2
IL-6 Signaling,2.34,0.0565,-0.447,"FGFR3,SOCS3,FOS,ABCB1,CD14,LBP,TNFRSF1B",,,,,IL-6 Signaling,1.66,0.0645,2.121,"VEGFA,FGFR3,IL1RN,IL1RL1,PIK3CG,PIK3R5,IRS2,TNF",,PRSS23,-2.858,2.122,IL-8 Signaling,IL-8 Signaling
Acute Phase Response Signaling,2.91,0.0573,1.633,"HMOX1,SOCS3,FOS,TTR,C3,ITIH2,Saa3,LBP,TNFRSF1B",,,,,Acute Phase Response Signaling,1.92,0.0637,2.236,"HMOX1,FN1,TF,Saa3,IL1RN,PIK3CG,SAA1,RBP2,TNF,AGT",,SLC34A2,-2.337,1.48,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
LXR/RXR Activation,6.56,0.109,-1.265,"TTR,C3,APOB,MYLIP,CD14,ABCG1,LBP,TNFRSF1B,NOS2,CYP51A1,ABCA1,CLU",,,,,LXR/RXR Activation,6.44,0.136,-0.905,"APOE,SCD,APOB,IL1RL1,LYZ,LDLR,TF,IL1RN,FASN,SAA1,ACACA,HMGCR,NOS2,TNF,AGT",,EDN1,-2.187,1.807,Acute Phase Response Signaling,Acute Phase Response Signaling
Pancreatic Adenocarcinoma Signaling,2.5,0.0603,1,"RAD51,FGFR3,HMOX1,CCNE1,BIRC5,CCND1,E2F2",,,,,Pancreatic Adenocarcinoma Signaling,2.31,0.0776,0.707,"VEGFA,FGFR3,HMOX1,PIK3CG,PIK3R5,IRS2,CDKN2B,BIRC5,NOTCH1",,LBH,-1.8,1.003,IL-8 Signaling,IL-8 Signaling
LPS/IL-1 Mediated Inhibition of RXR Function,1.72,0.0398,2.646,"ABCB1,ALDH1A3,CD14,ABCG1,LBP,TNFRSF1B,ABCA1,PPARGC1A",,,,,LPS/IL-1 Mediated Inhibition of RXR Function,4.89,0.0896,-0.816,"APOE,CYP3A7,GSTM5,IL1RL1,ACOX1,CYP2C9,HMGCS2,Sult1d1,FABP2,MAOB,ALDH1A1,SCARB1,MGST2,ALDH1A3,Gstm3,IL1RN,HMGCS1,TNF",,SORCS2,-1.6,-2.411,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
Endothelin-1 Signaling,1.51,0.0387,0.378,"PLBD1,FGFR3,HMOX1,FOS,EDN1,PLA2G5,NOS2",,,,,Endothelin-1 Signaling,1.91,0.0608,1.508,"FGFR3,HMOX1,EDN1,PIK3CG,PTGS1,PLA2G5,PIK3R5,IRS2,GNA14,PLCH2,NOS2",,ANO1,-1.581,-2.33,Acute Phase Response Signaling,Acute Phase Response Signaling
PPAR Signaling,1.19,0.044,-2,"FOS,TNFRSF1B,CITED2,PPARGC1A",,,,,PPAR Signaling,0.612,0.044,-2,"PDGFA,IL1RN,IL1RL1,TNF",,SMOC2,-1.507,-2.647,Signaling by Rho Family GTPases,Signaling by Rho Family GTPases
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages,1.09,0.033,0,"FGFR3,FOS,APOB,TNFRSF1B,NOS2,CLU",,,,,Production of Nitric Oxide and Reactive Oxygen Species in Macrophages,4.32,0.0879,3.5,"APOE,APOB,RHOC,PIK3R5,TLR2,FGFR3,NCF1,LYZ,RND3,PIK3CG,CYBB,IRS2,RHOF,NOS2,TNF,SIRPA",,APOB,-1.445,1.232,Acute Phase Response Signaling,Acute Phase Response Signaling
AMPK Signaling,1.06,0.0324,-2,"FGFR3,ACACB,PRKAR2B,AK4,CCND1,PPARGC1A",,,,,AMPK Signaling,1.85,0.0595,1.897,"FGFR3,ACACB,ADRA2A,SLC2A1,PIK3CG,FASN,PIK3R5,AK4,ACACA,IRS2,HMGCR",,LRMP,-1.318,1.031,IL-8 Signaling,IL-8 Signaling
IGF-1 Signaling,1.04,0.0388,-1,"FGFR3,SOCS3,FOS,PRKAR2B",,,,,IGF-1 Signaling,1.18,0.0583,1,"FGFR3,IGFBP4,PIK3CG,PIK3R5,IGFBP5,IRS2",,GJB5,-1.317,-1.751,Endothelin-1 Signaling,Endothelin-1 Signaling
