gene	AOMDSS-CON	AOMDSSCUR-AOMDSS
NR4A1	1.243999433	-1.396260827
EGR1	1.107381967	-1.234350427
PLA2G4C	2.404252369	-2.130781982
PLA2G7	-1.317562604	1.138718444
FOS	1.524519397	-1.783800658
HBEGF	-1.396085609	1.27927196
PDE4B	1.508166994	-1.78783361
0610005C13RIK	-1.065317518	1.165635847
ALADL1	1.014137358	-1.184516533
ARID3A	-1.352744987	1.228840869
CADM1	2.615896141	-1.727718247
CD177	1.974268756	-1.28127177
CEACAM10	-1.029860908	1.103963464
CTSF	-1.343628724	1.482215753
CYP2D12	1.237113141	-1.05713996
DLK1	1.40358043	-1.359018834
E2F2	1.146691206	-1.41201942
FOSB	1.089164015	-1.206600896
HEPACAM	1.37738864	-1.226429563
IFI47	1.053760724	-1.190956562
LTF	-1.440240454	1.21660588
ME3	-1.18208668	1.283493268
PER3	-1.341079926	1.058610334
PLSCR2	-1.08050022	1.197585078
PMEPA1	1.239928574	-1.279485525
S100G	-1.740793479	1.537229012
SLC20A1	-1.131032973	1.114873864
SLC26A3	-1.115189376	1.087347
SLC2A5	-1.523846448	1.415679467
SLC37A2	-1.566324685	1.063491521
TEF	-1.32744835	1.067692521
