Pathways, -log(p-value)1,z-score1, -log(p-value)2,z-score2
LPS/IL-1 Mediated Inhibition of RXR Function,4.16,0.775,6.81,-2.84
NRF2-mediated Oxidative Stress Response,5.47,0.832,6.11,-0.243
Calcium-induced T Lymphocyte Apoptosis,4,1.807,6.01,-3.153
Cdc42 Signaling,3.07,2.673,5.25,-2.183
Th1 Pathway,4.12,1.279,5.19,-3.128
PI3K Signaling in B Lymphocytes,6.01,1.877,5.13,-3.273
PKC? Signaling in T Lymphocytes,6.8,1.512,4.41,-4.146
iCOS-iCOSL Signaling in T Helper Cells,6.45,1.46,4.04,-3.357
Role of NFAT in Regulation of the Immune Response,5.45,1.826,3.59,-4.707
Mitotic Roles of Polo-Like Kinase,4.59,1.941,3.52,-1.265
Dendritic Cell Maturation,3.61,2.268,3.05,-4.2
Aldosterone Signaling in Epithelial Cells,6.06,-2.524,2.54,-0.632
Actin Cytoskeleton Signaling,2.36,0.408,2.48,-3.4
ERK/MAPK Signaling,3.62,-0.186,2.44,-2.6
p70S6K Signaling,4.34,-0.426,2.41,-2.183
Leukocyte Extravasation Signaling,5.47,1.257,2.41,-3.962
Estrogen-Dependent Breast Cancer Signaling,3.22,0.535,2.37,-3
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages,4.24,1.257,2.32,-3.266
IGF-1 Signaling,4.38,-0.728,2.29,-1.897
IL-6 Signaling,4.1,-0.426,2.21,-2
