Control_18.muco	AOMDSS_18.muao	AOMDSSCur_18.mucu	gene
0.7163597	0.575433	0.6771483	Gm2897
0.8633292	0.710249	0.8984843	AU018091
0.818274	0.7138608	0.8262497	Lyn
0.8019868	0.6352537	0.7794647	Osbp2
0.5458946	0.3564375	0.7324521	Dnmt3a
0.4283551	0.293537	0.4288687	Pitpnm1
0.5034662	0.3735918	0.499139	Frmd4a
0.3345765	0.1688303	0.2932165	Card6
0.5034969	0.2957204	0.4183008	Asb4
0.1995354	0.4028937	0.2824851	Camk1d
0.7549837	0.6003247	0.7260785	Camk2b
0.9276564	0.8210158	0.9604803	Npc1l1
0.8010602	0.6400151	0.7458243	Men1
0.5122944	0.2774666	0.4365191	Slc22a12
0.7997981	0.6901718	0.8069061	Gm11981
0.4020412	0.7436103	0.5568853	Gpr137
0.7947582	0.6556569	0.8150087	Lifr
0.1023199	0.206845	0.0984519	Mir6991
0.3048761	0.1901498	0.3727986	Gdnf
0.7394576	0.564955	0.7002659	Tagap
0.9677452	0.8504567	0.9508894	Tagap
0.270082	0.3897707	0.2445553	Tmem114
0.4551621	0.6130446	0.4205728	Tns3
0.1986562	0.302842	0.1922612	1700092M07Rik
0.3129833	0.4515959	0.3040932	Nadk2
0.8116877	0.6929358	0.8328692	Capsl
0.3670951	0.2133353	0.3814118	Tnfsf13b
0.8159794	0.9238949	0.8029603	Fabp12
0.1769491	0.3727588	0.1557296	Ciita
0.9558559	0.7462308	0.9152895	Gm4262
0.7236857	0.5625994	0.6914199	Snx29
0.1354912	0.2711104	0.4602014	Grb10
0.043131	0.1470157	0.044981	D17Ertd648e
0.8364083	0.6767601	0.7984548	Agpat4
0.8527331	0.6685218	0.8437798	Utrn
0.5923081	0.3986057	0.5904375	3830406C13Rik
0.6437312	0.5184434	0.6777113	Lamp1
0.7899195	0.6481872	0.8647935	Tfdp1
0.4017419	0.5882134	0.4151695	Gas6
0.413513	0.6607597	0.484414	1700029H14Rik
0.592912	0.482554	0.5969054	Kdm4d
0.8021495	0.6766805	0.780432	Amotl1
0.1369592	0.0223867	0.1304749	Arhgap35
0.3806852	0.5234188	0.3590693	Ap2s1
0.779075	0.5306206	0.702248	Cited2
0.7112059	0.5731478	0.7167249	Ptgir
0.6067794	0.4602278	0.6495406	A930004D18Rik
0.7833499	0.9245469	0.8091584	Cngb3
0.1618097	0.4000975	0.2549371	Irf2bp1
0.0101407	0.1514851	0.0063491	Chst7
0.4297884	0.6068161	0.4575038	Ckm
0.3902279	0.219191	0.369404	Slc1a4
0.3238318	0.4613216	0.3268526	Pvr
0.0769049	0.2155155	0.0500544	Sertad2
0.3640679	0.2306121	0.3414432	Ptpn12
0.2307791	0.3965847	0.1750752	S1pr2
0.2460375	0.0695011	0.24236	Icam1
0.6136365	0.447649	0.586988	Lrrc17
0.1715443	0.2868281	0.1798563	Garem
0.8922401	0.7705854	0.9150643	Prkcsh
0.8383393	0.3683526	0.7505424	Tmem2
0.9559905	0.7252382	0.9008976	Tmem2
0.5855456	0.3896652	0.512078	Bbs9
0.7734341	0.6514689	0.7620125	B3gnt2
0.7099818	0.585205	0.6961602	Bmper
0.7716974	0.6205544	0.7767481	Apba1
0.2850844	0.5383549	0.3114482	Asb10
0.5441964	0.6795216	0.5074773	Ank1
0.0027968	0.1336116	0.0026478	Fxn
0.8222891	0.6793844	0.8058767	Rheb
0.6157123	0.3544109	0.5590653	Prkag2
0.8893304	0.7491794	0.858121	Enpp3
0.0842452	0.2476948	0.1305729	Prkag2
0.4500059	0.6172058	0.4728125	Fam134b
0.9762374	0.8300767	0.9408377	Cnfn
0.5656059	0.4185153	0.6304969	Mir3075
0.1696651	0.3770796	0.2185828	Israa
0.792765	0.5089235	0.708011	Anxa11
0.2350918	0.4060032	0.2942621	Nceh1
0.2325798	0.4037986	0.2592556	Itpr3
0.6679333	0.48338	0.6354979	Fam105a
