gene	AOM+DSS vs control	AOM+DSS+Curcumin vs AOM+DSS
HMOX1	2.911	1.977
Saa3	3.504	2.364
ACACB	2.147	1.071
EDN1	-2.187	1.807
PLA2G5	1.152	-1.179
ACTA1	2.362	1.363
CLDN4	1.828	1.170
ALDH1A3	3.872	1.337
APOB	-1.445	1.232
NOS2	5.258	1.383
TAC1	2.232	1.132
TGM2	4.146	1.298
CYP2C18	-1.027	3.095
1810065E05Rik	1.782	1.992
2010109I03Rik	1.935	1.172
ACAT2	1.360	-1.340
AGPAT9	2.488	1.619
ALPP	2.093	1.628
ANO1	-1.581	-2.330
APLP1	1.313	1.210
B4GALNT3	-1.198	-1.046
BMP3	-1.201	2.226
Bmp8b	2.468	1.524
CAPG	2.887	1.187
CD177	2.118	-2.122
CHAF1A	1.320	-1.067
CHGA	-1.132	1.489
CHGB	-1.256	1.462
CLCA4	7.143	1.630
CPS1	-1.279	-2.999
Cyp2d9	-1.145	1.898
DGAT2	1.276	1.160
DHRS9	2.953	1.165
DPYD	-1.239	1.204
DUOX2	2.008	1.456
DUOXA2	2.652	1.767
E2F8	1.372	-1.381
FAM162A	1.002	1.115
FAM3B	1.078	1.107
GJB5	-1.317	-1.751
HELLS	1.562	-1.309
IDI1	1.121	-1.256
Ifi47	1.686	1.241
IFIT1B	1.973	1.580
IL4R	1.729	1.003
ISG15	1.561	1.376
ISX	1.798	1.365
LBH	-1.800	1.003
LRMP	-1.318	1.031
MARCKSL1	1.597	1.544
MCM2	1.170	-1.053
MCM4	1.207	-1.065
MCM6	1.129	-1.227
MEP1A	-1.263	1.235
MGLL	1.741	1.606
NXPE2	-1.059	-2.734
PCSK9	2.259	-2.486
PGLYRP1	1.062	1.416
PLAUR	3.746	1.420
PLET1	5.862	1.268
PRSS23	-2.858	2.122
RETNLB	3.885	1.594
SEMA7A	2.479	1.398
SGK2	1.045	1.257
SLC34A2	-2.337	1.480
SLPI	3.846	1.572
SMOC2	-1.507	-2.647
SORCS2	-1.600	-2.411
SPRR1A	4.183	1.907
Srgn	3.502	1.360
TGFBI	1.991	2.083
TMIGD1	1.619	2.268
TNIP3	1.300	1.143
TRIM40	1.647	1.285
WDHD1	1.365	-1.195
ZAN	-1.210	-1.625
