gene	DSS-CON	DSSCUR-DSS
NCOA7	2.610	-1.428
LPCAT4	3.429	-1.564
PLAUR	3.177	-1.404
AREG	2.571	-3.321
ABCA1	-1.836	1.628
NOS2	4.400	-1.780
LPO	-1.921	1.414
DHRS9	1.917	-1.961
ACTA1	2.689	-1.946
CLDN4	2.449	-1.546
HLA-DQA1	2.626	-1.412
2010109I03Rik	2.092	-2.849
ADRA2A	1.385	-1.373
ALADL1	1.452	-1.230
APLP1	1.911	-2.073
Bmp8b	1.314	1.039
CBR3	5.331	-2.318
CLCA4	1.737	-1.325
EMP1	-1.160	1.096
IER3	1.534	-1.150
KRT23	2.838	-2.481
KRT36	2.971	-1.990
PAQR8	1.991	-1.463
PGAP1	1.322	-1.080
PMEPA1	1.329	-1.570
SHISA2	-1.013	1.033
