EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1/1/2013,48,44,37,34,31,27,64,60,56,29.99,29.96,29.89,10,10,10,13,5,21,0,5,,323
1/2/2013,41,36,31,29,27,19,75,69,63,30.22,30.1,29.99,10,10,8,8,3,9,0,6,,53
1/3/2013,40,34,28,22,18,14,69,55,40,30.24,30.2,30.15,10,10,10,12,4,12,0,3,,209
1/4/2013,45,37,28,18,17,15,53,43,33,30.23,30.19,30.12,10,10,10,14,5,21,0,0,,239
1/5/2013,49,39,28,28,17,14,64,44,24,30.37,30.26,30.18,10,10,10,10,5,13,T,1,,200
1/6/2013,50,40,30,31,27,25,88,56,38,30.16,30.1,30.04,10,10,10,7,2,,0,3,Rain,209
1/7/2013,47,38,28,26,25,23,69,54,38,30.44,30.35,30.15,10,10,10,9,3,14,0,2,,336
1/8/2013,52,38,23,32,28,23,85,64,42,30.43,30.39,30.34,10,10,9,14,6,17,0,1,,213
1/9/2013,60,44,27,45,37,26,92,73,53,30.39,30.33,30.27,10,10,8,16,6,22,0,2,,213
1/10/2013,60,48,36,28,25,20,59,44,28,30.57,30.48,30.39,10,10,10,10,2,18,0,1,,33
1/11/2013,43,40,37,41,36,26,96,75,53,30.46,30.24,30.09,10,6,1,10,3,12,0.04,8,Rain,181
1/12/2013,57,48,39,47,43,39,100,86,71,30.17,30.13,30.09,10,4,0,6,1,10,0,4,Fog,99
1/13/2013,64,55,45,58,51,44,100,92,84,30.12,30.04,29.98,10,4,0,14,3,17,0.02,4,Fog,187
1/14/2013,62,52,41,60,49,39,97,82,66,30.27,30.13,29.97,10,9,3,18,7,23,0.14,7,Rain,69
1/15/2013,41,39,36,37,36,35,100,93,85,30.32,30.24,30.12,10,5,2,10,5,14,1.1,8,Rain,40
1/16/2013,43,39,35,40,37,33,93,91,89,30.13,30.01,29.89,10,5,2,14,3,39,0.3,8,Rain,73
1/17/2013,44,39,33,43,36,32,100,93,85,30.12,30.06,29.96,9,3,0,13,3,16,0.52,7,Fog-Rain-Snow,59
1/18/2013,43,35,27,32,21,12,96,63,29,30.49,30.37,30.12,10,10,8,14,5,16,0.01,0,,232
1/19/2013,52,39,26,29,26,21,81,61,41,30.41,30.24,30.01,10,10,10,20,11,23,0,0,,192
1/20/2013,60,48,35,28,19,1,70,43,15,30.06,29.95,29.87,10,10,10,17,8,26,0,0,,229
1/21/2013,52,40,27,17,10,1,53,36,18,30.07,29.96,29.78,10,10,10,16,6,31,0,0,,270
1/22/2013,32,25,18,5,-5,-10,39,30,21,30.28,30.16,29.96,10,10,10,14,6,21,0,0,,306
1/23/2013,31,22,12,14,0,-6,61,41,21,30.34,30.23,30.1,10,9,1,14,5,18,T,4,Snow,33
1/24/2013,27,20,13,18,8,-3,84,57,29,30.53,30.27,30.03,10,7,1,17,6,28,T,4,Snow,18
1/25/2013,23,18,12,18,11,1,84,64,43,30.51,30.23,30.06,10,7,1,18,6,23,T,6,Snow,192
