chr	start	end	CpG	WJ01.N	WJ01.X	WJ02.N	WJ02.X	WJ03.N	WJ03.X	WJ04.N	WJ04.X	WJ05.N	WJ05.X	feature	distance	gene	transcript
chr10	3184179	3184359	5	36	34	36	32	75	70	66	62	49	45	Distal Intergenic	-50987	B020014A21Rik	NR_045946
chr10	3234870	3234902	3	NA	NA	NA	NA	NA	NA	23	22	20	20	Distal Intergenic	32869	H60c	NM_001204916
chr10	3236592	3236662	3	26	25	20	20	NA	NA	31	31	24	23	Distal Intergenic	31109	H60c	NM_001204916
chr10	3238649	3238737	3	NA	NA	NA	NA	28	21	NA	NA	NA	NA	Distal Intergenic	29034	H60c	NM_001204916
chr10	3268388	3268466	6	40	35	45	42	57	49	57	49	43	38	Promoter (<=1kb)	-618	H60c	NM_001204916
chr10	3366116	3366532	29	221	10	247	11	282	10	317	23	342	10	Promoter (<=1kb)	0	Ppp1r14c	NM_133485
chr10	3366606	3366966	33	330	22	327	17	361	15	396	28	407	15	Promoter (<=1kb)	457	Ppp1r14c	NM_133485
chr10	3366992	3367394	19	130	13	91	15	165	29	141	26	239	41	Promoter (<=1kb)	843	Ppp1r14c	NM_133485
chr10	3367446	3367827	11	168	98	174	89	206	105	215	104	215	113	Promoter (1-2kb)	1297	Ppp1r14c	NM_133485
chr10	3368009	3368081	3	47	46	35	34	63	62	55	55	48	48	Promoter (1-2kb)	1860	Ppp1r14c	NM_133485
chr10	3397377	3397425	4	43	42	21	21	31	31	30	27	42	42	Intron (NM_133485/Ppp1r14c, intron 1 of 3)	31228	Ppp1r14c	NM_133485
chr10	3501061	3501345	8	NA	NA	NA	NA	37	28	NA	NA	NA	NA	Distal Intergenic	-38934	Iyd	NM_027391
chr10	3531542	3531657	4	47	5	54	1	47	1	50	2	60	2	Distal Intergenic	-8622	Iyd	NM_027391
chr10	3534635	3534729	5	35	0	41	7	26	1	39	4	65	7	Distal Intergenic	-5550	Iyd	NM_027391
chr10	3540201	3540364	4	53	16	55	18	69	20	68	16	69	16	Promoter (<=1kb)	0	Iyd	NM_027391
chr10	3540475	3540643	6	36	33	53	41	55	48	51	44	43	38	Promoter (<=1kb)	197	Iyd	NM_027391
chr10	3555319	3555402	4	26	18	24	16	34	24	31	23	52	39	Distal Intergenic	15041	Iyd	NM_027391
chr10	3567813	3568059	6	65	53	62	51	72	61	87	72	78	59	Distal Intergenic	27535	Iyd	NM_027391
chr10	3572767	3573064	8	210	44	225	52	207	47	223	61	264	78	Distal Intergenic	32489	Iyd	NM_027391
chr10	3696654	3696852	6	NA	NA	NA	NA	NA	NA	NA	NA	21	13	Distal Intergenic	-43525	Plekhg1	NM_001159942
chr10	3740381	3740453	13	38	2	48	0	38	1	50	6	36	3	Promoter (<=1kb)	5	Plekhg1	NM_001159942
chr10	3740629	3740865	21	210	11	266	17	224	22	227	13	278	27	Promoter (<=1kb)	253	Plekhg1	NM_001159942
chr10	3740902	3741152	13	125	16	185	21	170	22	170	21	250	33	Promoter (<=1kb)	526	Plekhg1	NM_001159942
chr10	3741300	3741524	6	65	6	77	5	58	2	78	13	76	11	Promoter (<=1kb)	924	Plekhg1	NM_001159942
chr10	3745367	3745399	4	NA	NA	22	20	NA	NA	NA	NA	NA	NA	Intron (NM_001159942/Plekhg1, intron 1 of 16)	4991	Plekhg1	NM_001159942
chr10	3785539	3785575	3	24	24	23	21	33	32	35	33	35	34	Intron (NM_001159942/Plekhg1, intron 1 of 16)	45163	Plekhg1	NM_001159942
chr10	3801199	3801354	4	29	16	25	9	44	20	34	14	36	15	Intron (NM_001159942/Plekhg1, intron 1 of 16)	60823	Plekhg1	NM_001159942
chr10	3801461	3801584	3	NA	NA	NA	NA	NA	NA	20	17	NA	NA	Intron (NM_001159942/Plekhg1, intron 1 of 16)	61085	Plekhg1	NM_001159942
chr10	3852591	3852696	3	38	26	52	38	48	32	48	32	36	24	Intron (NM_001159942/Plekhg1, intron 2 of 16)	-19971	Plekhg1	NM_001033253
chr10	3863607	3863731	4	40	24	40	18	44	24	52	29	44	27	Intron (NM_001159942/Plekhg1, intron 2 of 16)	-8936	Plekhg1	NM_001033253
chr10	3869425	3869616	5	23	19	NA	NA	22	16	22	18	NA	NA	Intron (NM_001159942/Plekhg1, intron 2 of 16)	-3051	Plekhg1	NM_001033253
chr10	3872556	3872587	3	27	25	31	29	41	39	39	36	36	35	Promoter (<=1kb)	-80	Plekhg1	NM_001033253
chr10	3872696	3872958	8	39	34	52	27	72	47	34	24	45	32	Promoter (<=1kb)	30	Plekhg1	NM_001033253
chr10	3873414	3873666	7	167	143	158	128	174	150	197	161	170	148	Promoter (<=1kb)	748	Plekhg1	NM_001033253
chr10	3896550	3896659	3	42	23	50	31	52	30	47	25	66	37	Intron (NM_001159942/Plekhg1, intron 3 of 16)	23884	Plekhg1	NM_001033253
chr10	3897001	3897074	3	30	18	33	21	25	14	26	16	33	25	Intron (NM_001159942/Plekhg1, intron 3 of 16)	24335	Plekhg1	NM_001033253
chr10	3913326	3913436	3	33	9	55	26	69	33	62	35	59	30	Intron (NM_001159942/Plekhg1, intron 4 of 16)	40660	Plekhg1	NM_001033253
chr10	3913570	3913659	3	68	44	52	39	83	62	82	54	76	57	Intron (NM_001159942/Plekhg1, intron 4 of 16)	40904	Plekhg1	NM_001033253
chr10	3939582	3939648	3	NA	NA	NA	NA	20	18	NA	NA	NA	NA	Intron (NM_001159942/Plekhg1, intron 8 of 16)	-33427	Mthfd1l	NM_001170786
chr10	3940247	3940363	3	42	32	31	22	49	35	64	47	57	38	Exon (NM_001159942/Plekhg1, exon 9 of 17)	-32712	Mthfd1l	NM_001170786
chr10	3940478	3940815	9	74	61	86	76	91	76	92	75	81	62	Exon (NM_001159942/Plekhg1, exon 10 of 17)	-32260	Mthfd1l	NM_001170786
chr10	3941082	3941150	3	NA	NA	NA	NA	23	19	25	22	28	26	Intron (NM_001159942/Plekhg1, intron 11 of 16)	-31925	Mthfd1l	NM_001170786
chr10	3941452	3941640	4	83	75	63	58	76	72	107	99	88	80	Intron (NM_001159942/Plekhg1, intron 11 of 16)	-31435	Mthfd1l	NM_001170786
chr10	3943980	3944095	4	70	1	80	5	109	4	104	2	111	8	Intron (NM_001159942/Plekhg1, intron 11 of 16)	-28980	Mthfd1l	NM_001170786
chr10	3946924	3946956	5	49	43	NA	NA	24	20	31	27	43	29	Intron (NM_001159942/Plekhg1, intron 12 of 16)	-26119	Mthfd1l	NM_001170786
chr10	3949592	3949776	5	116	74	134	82	155	84	161	92	138	83	Exon (NM_001159942/Plekhg1, exon 14 of 17)	-23299	Mthfd1l	NM_001170786
chr10	3958484	3958627	4	22	20	31	27	34	29	NA	NA	27	23	Intron (NM_001159942/Plekhg1, intron 16 of 16)	-14448	Mthfd1l	NM_001170786
chr10	3958790	3958893	4	80	46	92	47	80	49	94	64	91	43	Intron (NM_001159942/Plekhg1, intron 16 of 16)	-14182	Mthfd1l	NM_001170786
chr10	3959005	3959083	3	38	37	57	55	55	54	57	56	46	43	Intron (NM_001159942/Plekhg1, intron 16 of 16)	-13992	Mthfd1l	NM_001170786
chr10	3972469	3972634	6	146	131	153	136	182	166	143	133	164	146	Promoter (<=1kb)	-441	Mthfd1l	NM_001170786
chr10	3972751	3972831	3	74	7	66	10	69	12	87	14	87	8	Promoter (<=1kb)	-244	Mthfd1l	NM_001170786
chr10	3972981	3973368	26	175	3	177	2	192	4	224	4	231	6	Promoter (<=1kb)	0	Mthfd1l	NM_001170786
chr10	3973383	3973782	39	207	5	229	2	276	2	289	5	301	2	Promoter (<=1kb)	309	Mthfd1l	NM_001170785
chr10	3973785	3974183	16	174	2	194	5	258	2	241	4	243	3	Promoter (<=1kb)	711	Mthfd1l	NM_001170785
chr10	3976960	3977120	5	NA	NA	NA	NA	29	21	NA	NA	NA	NA	Intron (NM_001170786/Mthfd1l, intron 1 of 27)	3886	Mthfd1l	NM_001170785
chr10	3992111	3992196	7	NA	NA	32	32	51	49	44	42	56	56	Intron (NM_001170786/Mthfd1l, intron 7 of 27)	19037	Mthfd1l	NM_001170785
chr10	3993715	3993797	3	20	11	28	12	26	17	25	15	32	14	Intron (NM_001170786/Mthfd1l, intron 7 of 27)	20641	Mthfd1l	NM_001170785
chr10	3996339	3996422	4	56	42	96	72	65	47	85	69	96	75	Intron (NM_001170786/Mthfd1l, intron 7 of 27)	23265	Mthfd1l	NM_001170785
